***********************************************************************************************************************
*****************************LOG DE OPERACIONES DE MICROSERVICIO DE TORNEOS********************************************
***********************************************************************************************************************undefinedundefinedundefined
[JUEGOS]:Ingeesa petición GET en juegos/listar | 6:42:57 PM
[JUEGOS]:Estableciendo conexión con la BD | 6:42:57 PMundefinedundefinedundefined
[JUEGOS]:Ingresando a POST juegos/registrar | 6:52:35 PM
[JUEGOS]:Estructura de body en POST: | 6:52:35 PM
[object JSON]
[JUEGOS]:Insertando información de nuevo juego en la BD | 6:52:35 PMundefined
[JUEGOS]:Ingresando a POST juegos/registrar | 6:52:35 PM
[JUEGOS]:Estructura de body en POST: | 6:52:35 PM
[object JSON]
[JUEGOS]:Insertando información de nuevo juego en la BD | 6:52:35 PM
[JUEGOS]:STATUS 201 | 6:52:35 PM
[JUEGOS]:Ingeesa petición GET en juegos/listar | 6:52:35 PM
[JUEGOS]:Estableciendo conexión con la BD | 6:52:35 PMundefined
[TORNEOS]:GET de listado de torneos | 6:52:35 PMundefined
[TORNEOS]:GET de listado de torneos | 6:52:35 PM
[TORNEOS]:STATUS 201 | 6:52:35 PMundefined
[TORNEOS]:GET de listado de torneos | 6:52:35 PM
[TORNEOS]:STATUS 201 | 6:52:35 PMundefined
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:52:35 PMundefined
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:52:35 PM
[PARTIDAS]:STATUS 201 | 6:52:35 PMundefinedundefined
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:57:14 PMundefined
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:57:14 PM
[PARTIDAS]:STATUS 201 | 6:57:14 PMundefined
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:57:14 PM
[PARTIDAS]:STATUS 201 | 6:57:14 PM
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:57:14 PMundefined
[PARTIDAS]:GET para listar todas las partidas desde interfaz | 6:57:14 PM
[PARTIDAS]:STATUS 201 | 6:57:14 PM
